motion_file,sex,age,size,weight,hand,foot,expertise,expertise_practical,expertise_theoretical,experience_trainer
mr_29_annotated_Tai_Chi_Push_000_annotated.txt,m,21,182,83,1,1,0,0,0,0
mr_29_annotated_Tai_Chi_Push_001_annotated.txt,m,21,182,83,1,1,0,0,0,0
mr_29_annotated_Tai_Chi_Push_002_annotated.txt,m,21,182,83,1,1,0,0,0,0
mr_29_annotated_Tai_Chi_Push_003_annotated.txt,m,21,182,83,1,1,0,0,0,0
mr_29_annotated_Tai_Chi_Push_004_annotated.txt,m,21,182,83,1,1,0,0,0,0
mr_28_annotated_Tai_Chi_Push_000_annotated.txt,m,23,185,82,1,1,0,0,0,0
mr_28_annotated_Tai_Chi_Push_001_annotated.txt,m,23,185,82,1,1,0,0,0,0
mr_28_annotated_Tai_Chi_Push_002_annotated.txt,m,23,185,82,1,1,0,0,0,0
mr_28_annotated_Tai_Chi_Push_003_annotated.txt,m,23,185,82,1,1,0,0,0,0
mr_28_annotated_Tai_Chi_Push_004_annotated.txt,m,23,185,82,1,1,0,0,0,0
mr_09_annotated_Tai_Chi_Push_000_annotated.txt,m,22,176,80,1,1,0,0,0,0
mr_09_annotated_Tai_Chi_Push_001_annotated.txt,m,22,176,80,1,1,0,0,0,0
mr_09_annotated_Tai_Chi_Push_002_annotated.txt,m,22,176,80,1,1,0,0,0,0
mr_09_annotated_Tai_Chi_Push_003_annotated.txt,m,22,176,80,1,1,0,0,0,0
mr_09_annotated_Tai_Chi_Push_004_annotated.txt,m,22,176,80,1,1,0,0,0,0
mr_08_008_annotated_Tai_Chi_Push_000_annotated.txt,m,29,172,63,1,1,1,1,1,0
mr_08_008_annotated_Tai_Chi_Push_001_annotated.txt,m,29,172,63,1,1,1,1,1,0
mr_08_008_annotated_Tai_Chi_Push_002_annotated.txt,m,29,172,63,1,1,1,1,1,0
mr_08_008_annotated_Tai_Chi_Push_003_annotated.txt,m,29,172,63,1,1,1,1,1,0
mr_08_008_annotated_Tai_Chi_Push_004_annotated.txt,m,29,172,63,1,1,1,1,1,0
mr_08_annotated_Tai_Chi_Push_000_annotated.txt,m,29,172,63,1,1,1,1,1,0
mr_08_annotated_Tai_Chi_Push_001_annotated.txt,m,29,172,63,1,1,1,1,1,0
mr_08_annotated_Tai_Chi_Push_002_annotated.txt,m,29,172,63,1,1,1,1,1,0
mr_08_annotated_Tai_Chi_Push_003_annotated.txt,m,29,172,63,1,1,1,1,1,0
mr_08_annotated_Tai_Chi_Push_004_annotated.txt,m,29,172,63,1,1,1,1,1,0
mr_08_annotated_Tai_Chi_Push_005_annotated.txt,m,29,172,63,1,1,1,1,1,0
mr_08_annotated_Tai_Chi_Push_006_annotated.txt,m,29,172,63,1,1,1,1,1,0
